bnumber	symbol	synonyms	type
b0721	sdhC	ECK0710|cybA|cybL|dhsC	protein-coding
b0712	pxpC	ECK0701|ybgK	protein-coding
b0713	pxpA	ECK0702|ybgL	protein-coding
b2181	yejG	ECK2175	protein-coding
b0714	nei	ECK0703	protein-coding
b0715	abrB	ECK0704|ybgN	protein-coding
b0722	sdhD	ECK0711|cybS|dhsD	protein-coding
b0720	gltA	ECK0709|gluT|icdB	protein-coding
b4262	lptG	ECK4255|yjgQ	protein-coding
b0719	ybgD	ECK0708	protein-coding
b0735	ybgE	ECK0724	protein-coding
b2723	hycC	ECK2718|hevC	protein-coding
b0738	tolR	ECK0727	protein-coding
b1137	ymfD	ECK1123	protein-coding
b0286	paoA	ECK0285|yagT	protein-coding
b0744	valT	ECK0733|valTa|valTalpha	tRNA
b0487	cueR	ECK0481|copR|ybbI	protein-coding
b0506	allR	ECK0499|glxA3|ybbU	protein-coding
b2256	arnD	ECK2249|pmrJ|yfbH	protein-coding
b1290	sapF	ECK1285	protein-coding
b0743	lysT	ECK0732|Su[beta]|lysTalpha|sua|supG|supL	tRNA
b0493	ybbO	ECK0487	protein-coding
b0745	lysW	ECK0734|lysT-beta|lysTbeta|su	tRNA
b1738	chbB	ECK1736|celA	protein-coding
b1166	ariR	ECK1153|ymgB	protein-coding
b0733	cydA	ECK0721|cyd-1	protein-coding
b0747	lysY	ECK0736|lysTg|lysTgamma	tRNA
b1646	sodC	ECK1642	protein-coding
b2258	arnF	ECK2252|yfbJ	protein-coding
b0746	valZ	ECK0735|valTb|valTbeta	tRNA
